Недела;Ден;Датум;Час;Просторија;Студиска програма;Семестар;предмет;тип на настава;проф/асс;Групи
14;Wednesday;2026-04-01;09:00;01 пред.;Магистер;8;Вовед во клиничката фармација;Предавање;;
14;Wednesday;2026-04-01;10:00;01 пред.;Магистер;8;Вовед во клиничката фармација;Предавање;;
14;Wednesday;2026-04-01;09:00;02 пред.;Магистер;4;Фитохемија;Колоквиум 1;Проф. д-р Марија Карапанџова;
14;Wednesday;2026-04-01;10:00;02 пред.;Магистер;4;Фитохемија;Колоквиум 1;Проф. д-р Марија Карапанџова;
14;Wednesday;2026-04-01;11:00;02 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;12:00;02 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;13:00;02 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;14:00;02 пред.;Лабораториско;2;Аналитичка хемија;Колоквиум 1;;
14;Wednesday;2026-04-01;15:00;02 пред.;Лабораториско;2;Аналитичка хемија;Колоквиум 1;;
14;Wednesday;2026-04-01;09:00;03 пред.;Магистер;4;Фитохемија;Колоквиум 1;Проф. д-р Марија Карапанџова;
14;Wednesday;2026-04-01;10:00;03 пред.;Магистер;4;Фитохемија;Колоквиум 1;Проф. д-р Марија Карапанџова;
14;Wednesday;2026-04-01;11:00;03 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;12:00;03 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;13:00;03 пред.;Магистер;2;Фармацевтска ботаника и биологија;Колоквиум 1;;
14;Wednesday;2026-04-01;14:00;03 пред.;Магистер;2;Аналитичка хемија, применета во фармација;Колоквиум 1;;
14;Wednesday;2026-04-01;15:00;03 пред.;Магистер;2;Аналитичка хемија, применета во фармација;Колоквиум 1;;
14;Wednesday;2026-04-01;09:00;04 пред.;Диететика;6;Контрола на квалитет и безбедност на храна;Предавање;Проф. д-p Катерина Анчевска Нетковска;
14;Wednesday;2026-04-01;10:00;04 пред.;Диететика;6;Контрола на квалитет и безбедност на храна;Предавање;Проф. д-p Катерина Анчевска Нетковска;
14;Wednesday;2026-04-01;11:00;04 пред.;Диететика;6;Основи на фармакотерапија и терапевтска исхрана;Предавање;Доц. м-р Евгенија Михајлоска;
14;Wednesday;2026-04-01;12:00;04 пред.;Диететика;6;Основи на фармакотерапија и терапевтска исхрана;Предавање;Доц. м-р Евгенија Михајлоска;
14;Wednesday;2026-04-01;13:00;04 пред.;Диететика;6;Токсикологија на храна;Предавање;;
14;Wednesday;2026-04-01;14:00;04 пред.;Диететика;6;Токсикологија на храна;Предавање;;
14;Wednesday;2026-04-01;15:00;04 пред.;Диететика;6;Токсикологија на храна;Вежби;;
14;Wednesday;2026-04-01;16:00;04 пред.;Диететика;6;Токсикологија на храна;Вежби;;
14;Thursday;2026-04-02;09:00;01 пред.;Лабораториско;4;Анализа на прехранбени производи;Колоквиум 1;Проф. д-р Тања Петреска Ивановска;
14;Thursday;2026-04-02;10:00;01 пред.;Лабораториско;4;Анализа на прехранбени производи;Колоквиум 1;Проф. д-р Тања Петреска Ивановска;
14;Thursday;2026-04-02;08:00;02 пред.;Лабораториско;6;Клиничко биохемиски анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
14;Thursday;2026-04-02;09:00;02 пред.;Лабораториско;6;Клиничко биохемиски анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
14;Thursday;2026-04-02;08:00;03 пред.;Магистер;8;Клиничка биохемија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
14;Thursday;2026-04-02;09:00;03 пред.;Магистер;8;Клиничка биохемија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
14;Thursday;2026-04-02;10:00;03 пред.;Магистер;8;Клиничка биохемија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
14;Thursday;2026-04-02;09:00;04 пред.;Диететика;4;Моделирање и оптимизирање во нутриционизам и диететика;Предавање;;
14;Thursday;2026-04-02;10:00;04 пред.;Диететика;4;Моделирање и оптимизирање во нутриционизам и диететика;Предавање;;
14;Thursday;2026-04-02;11:00;04 пред.;Диететика;4;Моделирање и оптимизирање во нутриционизам и диететика;Предавање;;
14;Thursday;2026-04-02;08:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;09:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;10:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;11:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;12:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;13:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;14:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;15:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;16:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;17:00;08 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;
14;Thursday;2026-04-02;08:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;6
14;Thursday;2026-04-02;09:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;6
14;Thursday;2026-04-02;10:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;6
14;Thursday;2026-04-02;11:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;6
14;Thursday;2026-04-02;12:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;6
14;Thursday;2026-04-02;13:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;4
14;Thursday;2026-04-02;14:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;4
14;Thursday;2026-04-02;15:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;4
14;Thursday;2026-04-02;16:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;4
14;Thursday;2026-04-02;17:00;09 лаб.;Магистер;6;Фармацевтска технологија;Вежби;Aсс. м-р Теодора Тасевска;4
14;Friday;2026-04-03;11:00;01 пред.;Лабораториско;2;Основи на физичка хемија;Колоквиум 1;;
14;Friday;2026-04-03;12:00;01 пред.;Лабораториско;2;Основи на физичка хемија;Колоквиум 1;;
14;Friday;2026-04-03;13:00;01 пред.;Лабораториско;2;Основи на физичка хемија;Колоквиум 1;;
14;Friday;2026-04-03;08:00;02 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;08:00;02 пред.;Диететика;3;Нутрицевтици, фармацевтско-технолошки и биофармацевтски карактеристики;Колоквиум 1;;
14;Friday;2026-04-03;09:00;02 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;09:00;02 пред.;Диететика;3;Нутрицевтици, фармацевтско-технолошки и биофармацевтски карактеристики;Колоквиум 1;;
14;Friday;2026-04-03;10:00;02 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;10:00;02 пред.;Диететика;3;Нутрицевтици, фармацевтско-технолошки и биофармацевтски карактеристики;Колоквиум 1;;
14;Friday;2026-04-03;11:00;02 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;12:00;02 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;13:00;02 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;08:00;03 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;09:00;03 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;10:00;03 пред.;Магистер;6;Фармацевтска технологија;Колоквиум 1;Проф. д-p Марија Главаш Додов;
14;Friday;2026-04-03;11:00;03 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;12:00;03 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;13:00;03 пред.;Магистер;2;Физичка хемија за фармацевти;Колоквиум 1;Проф. д-p Руменка Петковска;
14;Friday;2026-04-03;10:00;04 пред.;Диететика;6;Имунологија за диететичари;Предавање;Доц. м-р Евгенија Михајлоска;
14;Friday;2026-04-03;11:00;04 пред.;Диететика;6;Имунологија за диететичари;Предавање;Доц. м-р Евгенија Михајлоска;
15;Monday;2026-04-06;09:00;01 пред.;Лабораториско;2;Молекуларна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;10:00;01 пред.;Лабораториско;2;Молекуларна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;11:00;01 пред.;;;;Семинар;Инфолек;
15;Monday;2026-04-06;12:00;01 пред.;;;;Семинар;Инфолек;
15;Monday;2026-04-06;13:00;01 пред.;Лабораториско;4;Патофизиологија со патологија;Колоквиум 1;;
15;Monday;2026-04-06;14:00;01 пред.;Лабораториско;4;Патофизиологија со патологија;Колоквиум 1;;
15;Monday;2026-04-06;08:00;02 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;09:00;02 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;10:00;02 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;11:00;02 пред.;Магистер;6;Фармацевтска хемија 2;Колоквиум 1;;
15;Monday;2026-04-06;12:00;02 пред.;Магистер;6;Фармацевтска хемија 2;Колоквиум 1;;
15;Monday;2026-04-06;13:00;02 пред.;Магистер;6;Фармацевтска хемија 2;Колоквиум 1;;
15;Monday;2026-04-06;15:00;02 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;;Предавање;Проф. д-p Ѓоше Стефков;
15;Monday;2026-04-06;16:00;02 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;;Предавање;Проф. д-p Ѓоше Стефков;
15;Monday;2026-04-06;17:00;02 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;;Предавање;Проф. д-p Ѓоше Стефков;
15;Monday;2026-04-06;08:00;03 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;09:00;03 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;10:00;03 пред.;Магистер;2;Молекуларно клеточна биологија и генетика;Колоквиум 1;;
15;Monday;2026-04-06;11:00;03 пред.;Магистер;4;Фармацевтска хемија 1;Колоквиум 1;;
15;Monday;2026-04-06;12:00;03 пред.;Магистер;4;Фармацевтска хемија 1;Колоквиум 1;;
15;Monday;2026-04-06;13:00;03 пред.;Магистер;4;Фармацевтска хемија 1;Колоквиум 1;;
15;Monday;2026-04-06;10:00;04 пред.;;;;Одбрана специјалистички труд;Проф. д-p Марија Главаш Додов;
15;Monday;2026-04-06;11:00;04 пред.;;;;Одбрана специјалистички труд;Проф. д-p Марија Главаш Додов;
15;Monday;2026-04-06;12:00;04 пред.;Магистер;6;Фармацевтска хемија 2;Колоквиум 1;;
15;Monday;2026-04-06;13:00;04 пред.;Магистер;6;Фармацевтска хемија 2;Колоквиум 1;;
15;Monday;2026-04-06;15:00;04 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Monday;2026-04-06;16:00;04 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Monday;2026-04-06;17:00;04 пред.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Monday;2026-04-06;12:00;10 лаб.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Monday;2026-04-06;13:00;10 лаб.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Monday;2026-04-06;14:00;10 лаб.;II циклус мр ЛАБОРАТОРИСКА АНАЛИЗА И ИНЖИНЕРСТВО ВО ФАРМАЦИЈАТА;;Анализа на прехранбени производи;Испит;Проф. д-р Тања Петреска Ивановска;
15;Tuesday;2026-04-07;08:00;01 пред.;Магистер;6;Основи на фармацевтска биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;08:00;01 пред.;Лабораториско;4;Основи на биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;09:00;01 пред.;Магистер;6;Основи на фармацевтска биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;09:00;01 пред.;Лабораториско;4;Основи на биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;10:00;01 пред.;Магистер;6;Основи на фармацевтска биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;10:00;01 пред.;Лабораториско;4;Основи на биотехнологија;Колоквиум 1;;
15;Tuesday;2026-04-07;11:00;01 пред.;Магистер;6;Фармацевтско право и етика;Предавање;;
15;Tuesday;2026-04-07;12:00;01 пред.;Магистер;6;Фармацевтско право и етика;Предавање;;
15;Tuesday;2026-04-07;13:00;01 пред.;Магистер;6;Фармацевтско право и етика;Предавање;;
15;Tuesday;2026-04-07;10:00;02 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;10:00;02 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;11:00;02 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;11:00;02 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;12:00;02 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;12:00;02 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;13:00;02 пред.;Магистер;;Органска хемија, применета во фармација;Консултации;Проф. д-p Ана Поцева Пановска;
15;Tuesday;2026-04-07;10:00;03 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;10:00;03 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;11:00;03 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;11:00;03 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;12:00;03 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;12:00;03 пред.;Магистер;8;Токсикологија;Колоквиум 1;Проф. д-p Татјана Кадифкова Пановска;
15;Tuesday;2026-04-07;14:00;03 пред.;;;;Промоција на дипломирани студенти;;
15;Tuesday;2026-04-07;10:00;04 пред.;Диететика;6;Основи на фармакотерапија и терапевтска исхрана;Предавање;Проф. д-р Зорица Наумовска;
15;Tuesday;2026-04-07;11:00;04 пред.;Диететика;6;Основи на фармакотерапија и терапевтска исхрана;Предавање;Проф. д-р Зорица Наумовска;
15;Tuesday;2026-04-07;12:00;04 пред.;;;;Одбрана специјалистички труд;Проф. д-p Јасмина Тониќ рибарска;
15;Wednesday;2026-04-08;08:00;01 пред.;Магистер;2;Органска хемија применета во фармација;Колоквиум 1;Проф. д-p Ана Поцева Пановска;
15;Wednesday;2026-04-08;09:00;01 пред.;Магистер;2;Органска хемија применета во фармација;Колоквиум 1;Проф. д-p Ана Поцева Пановска;
15;Wednesday;2026-04-08;10:00;01 пред.;Магистер;2;Органска хемија применета во фармација;Колоквиум 1;Проф. д-p Ана Поцева Пановска;
15;Wednesday;2026-04-08;11:00;01 пред.;Магистер;6;Фармацевтска хемија 2;Предавање;;
15;Wednesday;2026-04-08;12:00;01 пред.;Магистер;6;Фармацевтска хемија 2;Предавање;;
15;Wednesday;2026-04-08;13:00;01 пред.;Магистер;6;Фармацевтска хемија 2;Предавање;;
15;Wednesday;2026-04-08;14:00;01 пред.;Магистер;8;Вовед во клиничката фармација;Предавање;Проф. д-р Александра Капедановска Несторовска;
15;Wednesday;2026-04-08;15:00;01 пред.;Магистер;8;Вовед во клиничката фармација;Предавање;Проф. д-р Александра Капедановска Несторовска;
15;Wednesday;2026-04-08;08:00;02 пред.;Диететика;2;Органска хемија за диететичари;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;08:00;02 пред.;Лабораториско;2;Органска хемија - теоретски основи;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;09:00;02 пред.;Диететика;2;Органска хемија за диететичари;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;09:00;02 пред.;Лабораториско;2;Органска хемија - теоретски основи;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;10:00;02 пред.;Диететика;2;Органска хемија за диететичари;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;10:00;02 пред.;Лабораториско;2;Органска хемија - теоретски основи;Колоквиум 1;Доц. м-р Олга Гигопулу;
15;Wednesday;2026-04-08;11:00;02 пред.;Магистер;8;Аналитика на лекови и легислатива;Предавање;Проф. д-p Анета Димитровска;
15;Wednesday;2026-04-08;12:00;02 пред.;Магистер;8;Аналитика на лекови и легислатива;Предавање;Проф. д-p Анета Димитровска;
15;Wednesday;2026-04-08;13:00;02 пред.;Магистер;8;Аналитика на лекови и легислатива;Предавање;Проф. д-p Анета Димитровска;
15;Wednesday;2026-04-08;14:00;02 пред.;Лабораториско;6;Клиничко биохемиски анализи;Предавање;Проф. д-р Марија Хиљадникова Бајро;
15;Wednesday;2026-04-08;15:00;02 пред.;Лабораториско;6;Клиничко биохемиски анализи;Предавање;Проф. д-р Марија Хиљадникова Бајро;
15;Wednesday;2026-04-08;16:00;02 пред.;Лабораториско;6;Клиничко биохемиски анализи;Предавање;Проф. д-р Марија Хиљадникова Бајро;
